"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Autauga County, AL","01001",Suppressed,183380,Suppressed,Suppressed,Suppressed
,"Baldwin County, AL","01003",Suppressed,673219,Suppressed,Suppressed,Suppressed
,"Barbour County, AL","01005",Suppressed,75775,Suppressed,Suppressed,Suppressed
,"Bibb County, AL","01007",Suppressed,71809,Suppressed,Suppressed,Suppressed
,"Blount County, AL","01009",Suppressed,174393,Suppressed,Suppressed,Suppressed
,"Bullock County, AL","01011",Suppressed,32256,Suppressed,Suppressed,Suppressed
,"Calhoun County, AL","01015",Suppressed,359526,Suppressed,Suppressed,Suppressed
,"Chilton County, AL","01021",Suppressed,137913,Suppressed,Suppressed,Suppressed
,"Choctaw County, AL","01023",Suppressed,32774,Suppressed,Suppressed,Suppressed
,"Clarke County, AL","01025",Suppressed,65702,Suppressed,Suppressed,Suppressed
,"Clay County, AL","01027",Suppressed,38332,Suppressed,Suppressed,Suppressed
,"Colbert County, AL","01033",Suppressed,165810,Suppressed,Suppressed,Suppressed
,"Conecuh County, AL","01035",Suppressed,30503,Suppressed,Suppressed,Suppressed
,"Covington County, AL","01039",Suppressed,103320,Suppressed,Suppressed,Suppressed
,"Cullman County, AL","01043",Suppressed,263130,Suppressed,Suppressed,Suppressed
,"Dale County, AL","01045",Suppressed,152621,Suppressed,Suppressed,Suppressed
,"Dallas County, AL","01047",Suppressed,105170,Suppressed,Suppressed,Suppressed
,"DeKalb County, AL","01049",Suppressed,217414,Suppressed,Suppressed,Suppressed
,"Elmore County, AL","01051",Suppressed,277807,Suppressed,Suppressed,Suppressed
,"Etowah County, AL","01055",Suppressed,305408,Suppressed,Suppressed,Suppressed
,"Geneva County, AL","01061",Suppressed,75333,Suppressed,Suppressed,Suppressed
,"Houston County, AL","01069",Suppressed,323387,Suppressed,Suppressed,Suppressed
,"Jackson County, AL","01071",Suppressed,151390,Suppressed,Suppressed,Suppressed
,"Jefferson County, AL","01073",14,2130795,0.7,0.4,1.1
,"Lamar County, AL","01075",Suppressed,37866,Suppressed,Suppressed,Suppressed
,"Lauderdale County, AL","01077",Suppressed,291654,Suppressed,Suppressed,Suppressed
,"Lawrence County, AL","01079",Suppressed,95439,Suppressed,Suppressed,Suppressed
,"Lee County, AL","01081",Suppressed,644547,Suppressed,Suppressed,Suppressed
