"Notes","State","State Code","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Alabama","01","Autauga County, AL","01001",Suppressed,183380,Suppressed,Suppressed,Suppressed
,"Alabama","01","Baldwin County, AL","01003",Suppressed,673219,Suppressed,Suppressed,Suppressed
,"Alabama","01","Barbour County, AL","01005",Suppressed,75775,Suppressed,Suppressed,Suppressed
,"Alabama","01","Bibb County, AL","01007",Suppressed,71809,Suppressed,Suppressed,Suppressed
,"Alabama","01","Blount County, AL","01009",Suppressed,174393,Suppressed,Suppressed,Suppressed
,"Alabama","01","Bullock County, AL","01011",Suppressed,32256,Suppressed,Suppressed,Suppressed
,"Alabama","01","Calhoun County, AL","01015",Suppressed,359526,Suppressed,Suppressed,Suppressed
,"Alabama","01","Chilton County, AL","01021",Suppressed,137913,Suppressed,Suppressed,Suppressed
,"Alabama","01","Choctaw County, AL","01023",Suppressed,32774,Suppressed,Suppressed,Suppressed
,"Alabama","01","Clarke County, AL","01025",Suppressed,65702,Suppressed,Suppressed,Suppressed
,"Alabama","01","Clay County, AL","01027",Suppressed,38332,Suppressed,Suppressed,Suppressed
,"Alabama","01","Colbert County, AL","01033",Suppressed,165810,Suppressed,Suppressed,Suppressed
,"Alabama","01","Conecuh County, AL","01035",Suppressed,30503,Suppressed,Suppressed,Suppressed
,"Alabama","01","Covington County, AL","01039",Suppressed,103320,Suppressed,Suppressed,Suppressed
,"Alabama","01","Cullman County, AL","01043",Suppressed,263130,Suppressed,Suppressed,Suppressed
,"Alabama","01","Dale County, AL","01045",Suppressed,152621,Suppressed,Suppressed,Suppressed
,"Alabama","01","Dallas County, AL","01047",Suppressed,105170,Suppressed,Suppressed,Suppressed
,"Alabama","01","DeKalb County, AL","01049",Suppressed,217414,Suppressed,Suppressed,Suppressed
,"Alabama","01","Elmore County, AL","01051",Suppressed,277807,Suppressed,Suppressed,Suppressed
,"Alabama","01","Etowah County, AL","01055",Suppressed,305408,Suppressed,Suppressed,Suppressed
,"Alabama","01","Geneva County, AL","01061",Suppressed,75333,Suppressed,Suppressed,Suppressed
,"Alabama","01","Houston County, AL","01069",Suppressed,323387,Suppressed,Suppressed,Suppressed
,"Alabama","01","Jackson County, AL","01071",Suppressed,151390,Suppressed,Suppressed,Suppressed
,"Alabama","01","Jefferson County, AL","01073",14,2130795,0.7,0.4,1.1
,"Alabama","01","Lamar County, AL","01075",Suppressed,37866,Suppressed,Suppressed,Suppressed
,"Alabama","01","Lauderdale County, AL","01077",Suppressed,291654,Suppressed,Suppressed,Suppressed
,"Alabama","01","Lawrence County, AL","01079",Suppressed,95439,Suppressed,Suppressed,Suppressed
,"Alabama","01","Lee County, AL","01081",Suppressed,644547,Suppressed,Suppressed,Suppressed
,"Alabama","01","Limestone County, AL","01083",Suppressed,340628,Suppressed,Suppressed,Suppressed
,"Alabama","01","Madison County, AL","01089",Suppressed,1273200,Suppressed,Suppressed,Suppressed
,"Alabama","01","Marengo County, AL","01091",Suppressed,53973,Suppressed,Suppressed,Suppressed
,"Alabama","01","Marion County, AL","01093",Suppressed,83287,Suppressed,Suppressed,Suppressed
,"Alabama","01","Marshall County, AL","01095",Suppressed,292048,Suppressed,Suppressed,Suppressed
,"Alabama","01","Mobile County, AL","01097",14,1290810,1.1,0.6,1.8
,"Alabama","01","Montgomery County, AL","01101",11,727522,1.5,0.8,2.7
,"Alabama","01","Morgan County, AL","01103",Suppressed,365974,Suppressed,Suppressed,Suppressed
,"Alabama","01","Perry County, AL","01105",Suppressed,25408,Suppressed,Suppressed,Suppressed
,"Alabama","01","Russell County, AL","01113",Suppressed,184489,Suppressed,Suppressed,Suppressed
,"Alabama","01","St. Clair County, AL","01115",Suppressed,283226,Suppressed,Suppressed,Suppressed
,"Alabama","01","Shelby County, AL","01117",Suppressed,715727,Suppressed,Suppressed,Suppressed
,"Alabama","01","Talladega County, AL","01121",Suppressed,244274,Suppressed,Suppressed,Suppressed
,"Alabama","01","Tallapoosa County, AL","01123",Suppressed,108464,Suppressed,Suppressed,Suppressed
,"Alabama","01","Tuscaloosa County, AL","01125",Suppressed,822676,Suppressed,Suppressed,Suppressed
,"Alabama","01","Washington County, AL","01129",Suppressed,43988,Suppressed,Suppressed,Suppressed
,"Alabama","01","Wilcox County, AL","01131",Suppressed,29107,Suppressed,Suppressed,Suppressed
,"Alaska","02","Anchorage Borough, AK","02020",Suppressed,1013024,Suppressed,Suppressed,Suppressed
,"Alaska","02","Bethel Census Area, AK","02050",Suppressed,59618,Suppressed,Suppressed,Suppressed
,"Alaska","02","Fairbanks North Star Borough, AK","02090",Suppressed,353649,Suppressed,Suppressed,Suppressed
,"Alaska","02","Hoonah-Angoon Census Area, AK","02105",Suppressed,5362,Suppressed,Suppressed,Suppressed
,"Alaska","02","Juneau Borough, AK","02110",Suppressed,105105,Suppressed,Suppressed,Suppressed
,"Alaska","02","Kenai Peninsula Borough, AK","02122",Suppressed,175599,Suppressed,Suppressed,Suppressed
,"Alaska","02","Matanuska-Susitna Borough, AK","02170",Suppressed,366441,Suppressed,Suppressed,Suppressed
,"Alaska","02","North Slope Borough, AK","02185",Suppressed,34676,Suppressed,Suppressed,Suppressed
,"Alaska","02","Northwest Arctic Borough, AK","02188",Suppressed,23855,Suppressed,Suppressed,Suppressed
,"Alaska","02","Southeast Fairbanks Census Area, AK","02240",Suppressed,21559,Suppressed,Suppressed,Suppressed
,"Alaska","02","Wade Hampton Census Area, AK","02270",Suppressed,25486,Suppressed,Suppressed,Suppressed
,"Arizona","04","Apache County, AZ","04001",Suppressed,208067,Suppressed,Suppressed,Suppressed
,"Arizona","04","Cochise County, AZ","04003",Suppressed,357688,Suppressed,Suppressed,Suppressed
,"Arizona","04","Coconino County, AZ","04005",Suppressed,542947,Suppressed,Suppressed,Suppressed
,"Arizona","04","Graham County, AZ","04009",Suppressed,132911,Suppressed,Suppressed,Suppressed
,"Arizona","04","La Paz County, AZ","04012",Suppressed,37713,Suppressed,Suppressed,Suppressed
,"Arizona","04","Maricopa County, AZ","04013",90,15095626,0.6,0.5,0.7
,"Arizona","04","Mohave County, AZ","04015",Suppressed,505867,Suppressed,Suppressed,Suppressed
,"Arizona","04","Navajo County, AZ","04017",Suppressed,314996,Suppressed,Suppressed,Suppressed
,"Arizona","04","Pima County, AZ","04019",17,3351066,0.5,0.3,0.8
,"Arizona","04","Pinal County, AZ","04021",11,1449948,0.8,0.4,1.4
,"Arizona","04","Santa Cruz County, AZ","04023",Suppressed,142177,Suppressed,Suppressed,Suppressed
,"Arizona","04","Yavapai County, AZ","04025",Suppressed,542256,Suppressed,Suppressed,Suppressed
,"Arizona","04","Yuma County, AZ","04027",Suppressed,669534,Suppressed,Suppressed,Suppressed
,"Arkansas","05","Baxter County, AR","05005",Suppressed,99760,Suppressed,Suppressed,Suppressed
,"Arkansas","05","Benton County, AR","05007",Suppressed,1003997,Suppressed,Suppressed,Suppressed
,"Arkansas","05","Boone County, AR","05009",Suppressed,107853,Suppressed,Suppressed,Suppressed
,"Arkansas","05","Bradley County, AR","05011",Suppressed,29980,Suppressed,Suppressed,Suppressed
,"Arkansas","05","Clark County, AR","05019",Suppressed,76725,Suppressed,Suppressed,Suppressed
,"Arkansas","05","Cleburne County, AR","05023",Suppressed,62590,Suppressed,Suppressed,Suppressed
,"Arkansas","05","Cleveland County, AR","05025",Suppressed,21439,Suppressed,Suppressed,Suppressed
,"Arkansas","05","Columbia County, AR","05027",Suppressed,75600,Suppressed,Suppressed,Suppressed
,"Arkansas","05","Craighead County, AR","05031",Suppressed,384048,Suppressed,Suppressed,Suppressed
,"Arkansas","05","Cross County, AR","05037",Suppressed,48329,Suppressed,Suppressed,Suppressed
,"Arkansas","05","Dallas County, AR","05039",Suppressed,17155,Suppressed,Suppressed,Suppressed
,"Arkansas","05","Faulkner County, AR","05045",Suppressed,458119,Suppressed,Suppressed,Suppressed
,"Arkansas","05","Garland County, AR","05051",Suppressed,271545,Suppressed,Suppressed,Suppressed
,"Arkansas","05","Greene County, AR","05055",Suppressed,145650,Suppressed,Suppressed,Suppressed
,"Arkansas","05","Hempstead County, AR","05057",Suppressed,57157,Suppressed,Suppressed,Suppressed
,"Arkansas","05","Izard County, AR","05065",Suppressed,37429,Suppressed,Suppressed,Suppressed
,"Arkansas","05","Jefferson County, AR","05069",Suppressed,202696,Suppressed,Suppressed,Suppressed
,"Arkansas","05","Lafayette County, AR","05073",Suppressed,16461,Suppressed,Suppressed,Suppressed
,"Arkansas","05","Lawrence County, AR","05075",Suppressed,48578,Suppressed,Suppressed,Suppressed
,"Arkansas","05","Lee County, AR","05077",Suppressed,27304,Suppressed,Suppressed,Suppressed
