"Notes","State of Residence","State of Residence Code","County of Residence","County of Residence Code",Births
,"Alabama","01","Baldwin County, AL","01003",17163
,"Alabama","01","Calhoun County, AL","01015",9094
,"Alabama","01","Etowah County, AL","01055",8284
,"Alabama","01","Houston County, AL","01069",9140
,"Alabama","01","Jefferson County, AL","01073",56340
,"Alabama","01","Lee County, AL","01081",13378
,"Alabama","01","Madison County, AL","01089",30874
,"Alabama","01","Mobile County, AL","01097",36116
,"Alabama","01","Montgomery County, AL","01101",20972
,"Alabama","01","Morgan County, AL","01103",10178
,"Alabama","01","Shelby County, AL","01117",16079
,"Alabama","01","Tuscaloosa County, AL","01125",17632
,"Alabama","01","Unidentified Counties, AL","01999",160388
"Total","Alabama","01",,,405638
,"Alaska","02","Anchorage Borough, AK","02020",25904
,"Alaska","02","Unidentified Counties, AK","02999",40126
"Total","Alaska","02",,,66030
,"Arizona","04","Cochise County, AZ","04003",8853
,"Arizona","04","Coconino County, AZ","04005",9344
,"Arizona","04","Maricopa County, AZ","04013",354436
,"Arizona","04","Mohave County, AZ","04015",12253
,"Arizona","04","Navajo County, AZ","04017",8894
,"Arizona","04","Pima County, AZ","04019",70619
,"Arizona","04","Pinal County, AZ","04021",34618
,"Arizona","04","Yavapai County, AZ","04025",12321
,"Arizona","04","Yuma County, AZ","04027",20401
,"Arizona","04","Unidentified Counties, AZ","04999",18245
"Total","Arizona","04",,,549984
,"Arkansas","05","Benton County, AR","05007",26490
,"Arkansas","05","Faulkner County, AR","05045",10388
,"Arkansas","05","Pulaski County, AR","05119",34729
,"Arkansas","05","Saline County, AR","05125",9613
,"Arkansas","05","Sebastian County, AR","05131",11205
,"Arkansas","05","Washington County, AR","05143",22658
,"Arkansas","05","Unidentified Counties, AR","05999",135609
"Total","Arkansas","05",,,250692
,"California","06","Alameda County, CA","06001",119428
,"California","06","Butte County, CA","06007",14602
,"California","06","Contra Costa County, CA","06013",80958
,"California","06","El Dorado County, CA","06017",10771
,"California","06","Fresno County, CA","06019",96518
,"California","06","Humboldt County, CA","06023",8641
,"California","06","Imperial County, CA","06025",16866
,"California","06","Kern County, CA","06029",86765
,"California","06","Kings County, CA","06031",15006
,"California","06","Los Angeles County, CA","06037",688147
,"California","06","Madera County, CA","06039",14705
,"California","06","Marin County, CA","06041",15026
,"California","06","Merced County, CA","06047",26517
,"California","06","Monterey County, CA","06053",38923
,"California","06","Napa County, CA","06055",8398
,"California","06","Orange County, CA","06059",224145
,"California","06","Placer County, CA","06061",26132
,"California","06","Riverside County, CA","06065",192209
,"California","06","Sacramento County, CA","06067",127549
,"California","06","San Bernardino County, CA","06071",187086
,"California","06","San Diego County, CA","06073",261951
,"California","06","San Francisco County, CA","06075",53405
,"California","06","San Joaquin County, CA","06077",68541
,"California","06","San Luis Obispo County, CA","06079",16913
,"California","06","San Mateo County, CA","06081",53577
,"California","06","Santa Barbara County, CA","06083",38082
,"California","06","Santa Clara County, CA","06085",137247
,"California","06","Santa Cruz County, CA","06087",15836
,"California","06","Shasta County, CA","06089",12857
,"California","06","Solano County, CA","06095",34117
,"California","06","Sonoma County, CA","06097",30962
,"California","06","Stanislaus County, CA","06099",49681
,"California","06","Tulare County, CA","06107",46903
,"California","06","Ventura County, CA","06111",60075
,"California","06","Yolo County, CA","06113",13744
,"California","06","Unidentified Counties, CA","06999",68326
"Total","California","06",,,2960609
,"Colorado","08","Adams County, CO","08001",43842
,"Colorado","08","Arapahoe County, CO","08005",52689
,"Colorado","08","Boulder County, CO","08013",17231
,"Colorado","08","Denver County, CO","08031",63954
,"Colorado","08","Douglas County, CO","08035",25900
,"Colorado","08","El Paso County, CO","08041",63652
,"Colorado","08","Jefferson County, CO","08059",38633
,"Colorado","08","Larimer County, CO","08069",21469
,"Colorado","08","Mesa County, CO","08077",10638
,"Colorado","08","Pueblo County, CO","08101",12039
,"Colorado","08","Weld County, CO","08123",32168
,"Colorado","08","Unidentified Counties, CO","08999",55875
"Total","Colorado","08",,,438090
,"Connecticut","09","Fairfield County, CT","09001",69202
,"Connecticut","09","Hartford County, CT","09003",62419
,"Connecticut","09","Litchfield County, CT","09005",9948
,"Connecticut","09","Middlesex County, CT","09007",9097
,"Connecticut","09","New Haven County, CT","09009",59085
,"Connecticut","09","New London County, CT","09011",17364
,"Connecticut","09","Tolland County, CT","09013",8042
,"Connecticut","09","Windham County, CT","09015",7254
"Total","Connecticut","09",,,242411
,"Delaware","10","Kent County, DE","10001",14741
,"Delaware","10","New Castle County, DE","10003",42643
,"Delaware","10","Sussex County, DE","10005",16413
"Total","Delaware","10",,,73797
,"District of Columbia","11","District of Columbia, DC","11001",59318
"Total","District of Columbia","11",,,59318
,"Florida","12","Alachua County, FL","12001",18329
,"Florida","12","Bay County, FL","12005",14677
,"Florida","12","Brevard County, FL","12009",36454
,"Florida","12","Broward County, FL","12011",145358
,"Florida","12","Charlotte County, FL","12015",7422
,"Florida","12","Citrus County, FL","12017",7249
,"Florida","12","Clay County, FL","12019",15612
,"Florida","12","Collier County, FL","12021",23097
,"Florida","12","Duval County, FL","12031",89186
,"Florida","12","Escambia County, FL","12033",26090
,"Florida","12","Hernando County, FL","12053",11623
,"Florida","12","Hillsborough County, FL","12057",119208
,"Florida","12","Indian River County, FL","12061",8695
,"Florida","12","Lake County, FL","12069",25092
,"Florida","12","Lee County, FL","12071",51075
,"Florida","12","Leon County, FL","12073",19787
,"Florida","12","Manatee County, FL","12081",25893
,"Florida","12","Marion County, FL","12083",25131
,"Florida","12","Martin County, FL","12085",8856
,"Florida","12","Miami-Dade County, FL","12086",204362
,"Florida","12","Okaloosa County, FL","12091",18422
,"Florida","12","Orange County, FL","12095",114660
,"Florida","12","Osceola County, FL","12097",33120
,"Florida","12","Palm Beach County, FL","12099",103824
,"Florida","12","Pasco County, FL","12101",38224
,"Florida","12","Pinellas County, FL","12103",52313
,"Florida","12","Polk County, FL","12105",60256
,"Florida","12","St. Johns County, FL","12109",16645
,"Florida","12","St. Lucie County, FL","12111",23959
,"Florida","12","Santa Rosa County, FL","12113",13789
,"Florida","12","Sarasota County, FL","12115",20467
,"Florida","12","Seminole County, FL","12117",31685
,"Florida","12","Volusia County, FL","12127",34434
,"Florida","12","Unidentified Counties, FL","12999",91575
"Total","Florida","12",,,1536569
,"Georgia","13","Bartow County, GA","13015",9305
,"Georgia","13","Bibb County, GA","13021",14363
,"Georgia","13","Carroll County, GA","13045",11124
,"Georgia","13","Chatham County, GA","13051",25274
,"Georgia","13","Cherokee County, GA","13057",19634
,"Georgia","13","Clarke County, GA","13059",9281
,"Georgia","13","Clayton County, GA","13063",24511
,"Georgia","13","Cobb County, GA","13067",61710
,"Georgia","13","Columbia County, GA","13073",11893
,"Georgia","13","Coweta County, GA","13077",11494
,"Georgia","13","DeKalb County, GA","13089",70087
,"Georgia","13","Douglas County, GA","13097",11744
,"Georgia","13","Fayette County, GA","13113",6285
,"Georgia","13","Forsyth County, GA","13117",16046
,"Georgia","13","Fulton County, GA","13121",86444
,"Georgia","13","Gwinnett County, GA","13135",76771
,"Georgia","13","Hall County, GA","13139",18769
,"Georgia","13","Henry County, GA","13151",19447
,"Georgia","13","Houston County, GA","13153",13793
,"Georgia","13","Lowndes County, GA","13185",11232
,"Georgia","13","Muscogee County, GA","13215",18941
,"Georgia","13","Paulding County, GA","13223",12681
,"Georgia","13","Richmond County, GA","13245",19773
,"Georgia","13","Whitfield County, GA","13313",8860
,"Georgia","13","Unidentified Counties, GA","13999",286508
"Total","Georgia","13",,,875970
,"Hawaii","15","Hawaii County, HI","15001",14557
,"Hawaii","15","Honolulu County, HI","15003",78637
,"Hawaii","15","Maui County, HI","15009",11870
,"Hawaii","15","Unidentified Counties, HI","15999",5305
"Total","Hawaii","15",,,110369
,"Idaho","16","Ada County, ID","16001",35142
,"Idaho","16","Bonneville County, ID","16019",12627
,"Idaho","16","Canyon County, ID","16027",22797
,"Idaho","16","Kootenai County, ID","16055",13286
,"Idaho","16","Unidentified Counties, ID","16999",71577
"Total","Idaho","16",,,155429
,"Illinois","17","Champaign County, IL","17019",14472
,"Illinois","17","Cook County, IL","17031",384642
,"Illinois","17","DeKalb County, IL","17037",7334
,"Illinois","17","DuPage County, IL","17043",68171
,"Illinois","17","Kane County, IL","17089",40023
,"Illinois","17","Kankakee County, IL","17091",8124
,"Illinois","17","Kendall County, IL","17093",10512
,"Illinois","17","Lake County, IL","17097",47197
,"Illinois","17","LaSalle County, IL","17099",7663
,"Illinois","17","McHenry County, IL","17111",21318
,"Illinois","17","McLean County, IL","17113",11778
,"Illinois","17","Macon County, IL","17115",8210
,"Illinois","17","Madison County, IL","17119",18730
,"Illinois","17","Peoria County, IL","17143",15356
,"Illinois","17","Rock Island County, IL","17161",11004
,"Illinois","17","St. Clair County, IL","17163",19150
,"Illinois","17","Sangamon County, IL","17167",14425
,"Illinois","17","Tazewell County, IL","17179",9036
,"Illinois","17","Will County, IL","17197",48893
,"Illinois","17","Winnebago County, IL","17201",23048
,"Illinois","17","Unidentified Counties, IL","17999",139598
"Total","Illinois","17",,,928684
,"Indiana","18","Allen County, IN","18003",36512
,"Indiana","18","Clark County, IN","18019",10048
,"Indiana","18","Delaware County, IN","18035",7486
